#    L    TT             EE             TE             PP             TP          
   232   0.568214E+04   0.125421E+01   0.337035E+02   0.227738E+07   0.193416E+04
   233   0.567470E+04   0.129892E+01   0.353956E+02   0.226718E+07   0.191848E+04
   234   0.566664E+04   0.134557E+01   0.370902E+02   0.225705E+07   0.190292E+04
   235   0.565798E+04   0.139419E+01   0.387869E+02   0.224700E+07   0.188749E+04
   236   0.564871E+04   0.144481E+01   0.404848E+02   0.223702E+07   0.187217E+04
   237   0.563884E+04   0.149743E+01   0.421831E+02   0.222711E+07   0.185697E+04
   238   0.562838E+04   0.155210E+01   0.438812E+02   0.221728E+07   0.184188E+04
   239   0.561732E+04   0.160881E+01   0.455784E+02   0.220752E+07   0.182691E+04
   240   0.560567E+04   0.166761E+01   0.472737E+02   0.219782E+07   0.181205E+04
   241   0.559343E+04   0.172851E+01   0.489666E+02   0.218820E+07   0.179731E+04
   242   0.558061E+04   0.179153E+01   0.506563E+02   0.217864E+07   0.178268E+04
   243   0.556721E+04   0.185669E+01   0.523419E+02   0.216916E+07   0.176815E+04
   244   0.555323E+04   0.192400E+01   0.540230E+02   0.215974E+07   0.175374E+04
   245   0.553869E+04   0.199349E+01   0.556987E+02   0.215038E+07   0.173943E+04
   246   0.552360E+04   0.206516E+01   0.573682E+02   0.214110E+07   0.172522E+04
   247   0.550794E+04   0.213903E+01   0.590310E+02   0.213187E+07   0.171112E+04
   248   0.549174E+04   0.221513E+01   0.606861E+02   0.212271E+07   0.169713E+04
   249   0.547499E+04   0.229344E+01   0.623329E+02   0.211362E+07   0.168323E+04
   250   0.545771E+04   0.237401E+01   0.639708E+02   0.210458E+07   0.166944E+04
   251   0.543989E+04   0.245681E+01   0.655986E+02   0.209561E+07   0.165574E+04
   252   0.542153E+04   0.254187E+01   0.672159E+02   0.208669E+07   0.164215E+04
   253   0.540265E+04   0.262918E+01   0.688217E+02   0.207784E+07   0.162865E+04
   254   0.538324E+04   0.271877E+01   0.704152E+02   0.206905E+07   0.161525E+04
   255   0.536329E+04   0.281062E+01   0.719958E+02   0.206032E+07   0.160194E+04
   256   0.534283E+04   0.290475E+01   0.735625E+02   0.205164E+07   0.158873E+04
   257   0.532186E+04   0.300116E+01   0.751149E+02   0.204303E+07   0.157561E+04
   258   0.530039E+04   0.309984E+01   0.766518E+02   0.203447E+07   0.156259E+04
   259   0.527843E+04   0.320081E+01   0.781738E+02   0.202597E+07   0.154966E+04
   260   0.525601E+04   0.330405E+01   0.796785E+02   0.201752E+07   0.153683E+04
   261   0.523312E+04   0.340958E+01   0.811668E+02   0.200914E+07   0.152408E+04
